ID,Country,Region,State_Region,LGA_District,long,lat,trial_ID,trial_Code,plotID,treat,rootYield_t_ha,harvestYear,harvestMonth,harvestDate,Hdate,plantingDate,plantYear,plantMonth,plantDate
1,Nigeria,SE Nigeria,Cross River,Yala,8.7448,6.6931,ACTLNG000049,NOT-2,ACPONG014252,PK,24.7375,2018,8,30,30/08/2018,19/06/2017,2017,6,19
2,Nigeria,SE Nigeria,Cross River,Yala,8.7448,6.6931,ACTLNG000049,NOT-2,ACPONG014406,NPK,29.74166667,2018,8,30,30/08/2018,19/06/2017,2017,6,19
3,Nigeria,SE Nigeria,Cross River,Yala,8.7449,6.6931,ACTLNG000049,NOT-2,ACPONG010787,half_NPK,28.05833333,2018,8,30,30/08/2018,19/06/2017,2017,6,19
4,Nigeria,SE Nigeria,Cross River,Yala,8.7448,6.6931,ACTLNG000049,NOT-2,ACPONG014254,NP,32.9875,2018,8,30,30/08/2018,19/06/2017,2017,6,19
5,Nigeria,SE Nigeria,Cross River,Yala,8.7448,6.6931,ACTLNG000049,NOT-2,ACPONG014251,NPK,33.9125,2018,8,30,30/08/2018,19/06/2017,2017,6,19
6,Nigeria,SE Nigeria,Cross River,Yala,8.7449,6.6931,ACTLNG000049,NOT-2,ACPONG010788,NK,32.05,2018,8,30,30/08/2018,19/06/2017,2017,6,19
7,Nigeria,SE Nigeria,Cross River,Yala,8.7448,6.6931,ACTLNG000049,NOT-2,ACPONG014253,NPK_micro,30.9625,2018,8,30,30/08/2018,19/06/2017,2017,6,19
8,Nigeria,SE Nigeria,Cross River,Yala,8.7448,6.6931,ACTLNG000049,NOT-2,ACPONG014405,CON,21.35833333,2018,8,30,30/08/2018,19/06/2017,2017,6,19
9,Nigeria,SE Nigeria,Cross River,Yala,8.7391,6.6922,ACTLNG000050,NOT-1,ACPONG014550,NPK,28.35,2018,8,30,30/08/2018,19/06/2017,2017,6,19
10,Nigeria,SE Nigeria,Cross River,Yala,8.7391,6.6922,ACTLNG000050,NOT-1,ACPONG014548,PK,28.37083333,2018,8,30,30/08/2018,19/06/2017,2017,6,19
11,Nigeria,SE Nigeria,Cross River,Yala,8.7391,6.6922,ACTLNG000050,NOT-1,ACPONG014429,NPK_micro,28.825,2018,8,30,30/08/2018,19/06/2017,2017,6,19
12,Nigeria,SE Nigeria,Cross River,Yala,8.7391,6.6922,ACTLNG000050,NOT-1,ACPONG014549,half_NPK,30.5875,2018,8,30,30/08/2018,19/06/2017,2017,6,19
13,Nigeria,SW Nigeria,Oyo,Ido,3.6789,7.5,ACTLNG000093,NOT-1,ACPONG002151,NPK,27.449375,2017,7,12,12/07/2017,15/07/2016,2016,7,15
14,Nigeria,SW Nigeria,Oyo,Ido,3.6789,7.5,ACTLNG000093,NOT-1,ACPONG002314,half_NPK,8.7275,2017,7,12,12/07/2017,15/07/2016,2016,7,15
15,Nigeria,SW Nigeria,Oyo,Ido,3.6789,7.5,ACTLNG000093,NOT-1,ACPONG002161,NPK,11.27875,2017,7,12,12/07/2017,15/07/2016,2016,7,15
16,Nigeria,SW Nigeria,Oyo,Ido,3.6789,7.5,ACTLNG000093,NOT-1,ACPONG000826,CON,18.47,2017,7,12,12/07/2017,15/07/2016,2016,7,15
17,Nigeria,SW Nigeria,Oyo,Ido,3.6789,7.5,ACTLNG000093,NOT-1,ACPONG002304,NPK_micro,20.253125,2017,7,12,12/07/2017,15/07/2016,2016,7,15
