Tab,Column,description_abstract,title,Measurement,data_type,creator,source,source date,source file,identifier,subject,subject.agrovoc,format,language,relation,coverage,coverage.country,rights
ACAI_BPP_forCKAN2022,,,,,19,"Pypers, Pieter ",,,,,,,,en,,,"Nigeria, Tanzania",CC-BY 4.0
,Country,Trial country,,,,,,,,,,,,,,,,
,Region,Geographical region within a country where sample was collected,,,,,,,,,,,,,,,,
,State_Region,In Nigeria it refers to State and in Tanzania Regions,,,,,,,,,,,,,,,,
,LGA_District,In Nigerai it refers to LGA and in Tanzania District,,,,,,,,,,,,,,,,
,long,Longitude,,,,,,,,,,,,,,,,
,lat,Latitude,,,,,,,,,,,,,,,,
,trial_ID,Trial identification number,,,,,,,,,,,,,,,,
,trial_Code,Nutrient omission trial with indication for season,,,,,,,,,,,,,,,,
,plotID,"Identification number for an experimental field plot (unique ID, defined by SScode, year and season of the experiment the field was part of, the cluster and field number and the plot number). ",,,,,,,,,,,,,,,,
,treat,TREAT,,,,,,,,,,,,,,,,
,rootYield_t_ha,Root yield in tons per hectare,,,,,,,,,,,,,,,,
,harvestYear,Harvest Year,,,,,,,,,,,,,,,,
,harvestMonth,Harvest month,,,,,,,,,,,,,,,,
,harvestDate,Harvest date,,,,,,,,,,,,,,,,
,Hdate,Harvest Date,,,,,,,,,,,,,,,,
,plantingDate,planting date,,,,,,,,,,,,,,,,
,plantYear,Planting year,,,,,,,,,,,,,,,,
,plantMonth,Planting month,,,,,,,,,,,,,,,,
,plantDate,Planting Date,,,,,,,,,,,,,,,,
